Threshold,January(Pr),January(Re),February(Pr),February(Rc),March(Pr),March(Rc),April(Pr),April(RC),May(Pr),May(Rc),June(P),June®,July(P),July(Rc),August(Pr),August(Rc),September(Pr)September(Rc),,Oct(Pr),Oct(Rc),Nov(Pr),Nov(Rc),Dec(Pr),Dec(Rc)
0.4,0.93829826618128,0.271069518716578,0.96453611054387,0.252584670231729,0.902832188041873,0.250588235294118,0.880106315363726,0.271515151515152,0.860914462128067,0.288306595365419,0.866646971935007,0.261461675579323,0.889869810582779,0.283885918003565,0.876266962060371,0.282014260249554,0.909357229019473,0.282192513368984,0.907309770227169,0.248467023172906,0.952764976958525,0.235864527629234,0.950638951351944,0.308966131907308
0.41,0.934000571918788,0.291105169340463,0.961291540785498,0.272245989304813,0.896689293795403,0.26843137254902,0.875912803591713,0.288645276292335,0.855558840922531,0.309465240641711,0.861749890494963,0.280552584670232,0.884599440356514,0.304295900178253,0.871947771551946,0.302352941176471,0.905386592418077,0.301408199643494,0.899915946205572,0.267183600713012,0.948421402459289,0.254349376114082,0.946060854420653,0.32921568627451
0.42,0.92970906774262,0.312156862745098,0.957722528439076,0.291140819964349,0.890304003543939,0.286595365418895,0.870289308176101,0.308324420677362,0.849627859965083,0.329643493761141,0.854098277864754,0.301461675579323,0.87683594124988,0.325632798573975,0.86747275855477,0.323547237076649,0.901275789893352,0.322370766488414,0.892147639864977,0.287379679144385,0.944122720551996,0.273172905525847,0.937508944330487,0.350320855614973
0.43,0.925334909377462,0.334901960784314,0.954783177162781,0.312406417112299,0.88336174389173,0.304830659536542,0.864455422253587,0.327522281639929,0.844023699124163,0.350427807486631,0.845073718698806,0.321836007130125,0.868671948435612,0.345935828877005,0.86301247771836,0.345204991087344,0.896469931631087,0.343582887700535,0.884607469904311,0.30650623885918,0.938928673732455,0.292139037433155,0.929921540656206,0.371836007130125
0.44,0.919182217343578,0.358235294117647,0.951448906964921,0.333600713012478,0.876591008082079,0.322869875222816,0.859017112768758,0.348966131907308,0.837469975980785,0.372905525846702,0.832541670265135,0.34367201426025,0.861348211683391,0.368752228163993,0.856249218065808,0.365989304812834,0.890687554395126,0.364848484848485,0.877522716403635,0.327076648841355,0.933980375426621,0.312192513368984,0.921668954615416,0.3949376114082
0.45,0.913663535439795,0.381426024955437,0.946546403987657,0.355418894830659,0.870884000546523,0.340855614973262,0.851693872528915,0.370160427807487,0.831749370797491,0.394688057040998,0.819991189780145,0.364991087344029,0.852393358478827,0.390748663101604,0.849002070069914,0.3874688057041,0.88392201647769,0.386310160427807,0.868053703209745,0.348057040998217,0.926979399354678,0.332869875222816,0.913248046039585,0.418645276292335
0.46,0.908654423238507,0.404812834224599,0.941664448584864,0.378377896613191,0.868481890572823,0.361604278074866,0.844445298389886,0.391711229946524,0.823810024904416,0.418645276292335,0.808095061269959,0.387914438502674,0.841560134719154,0.414224598930481,0.839051094890511,0.409803921568627,0.876918954098235,0.408306595365419,0.86045064110544,0.369625668449198,0.92093908040644,0.353814616755793,0.905458515283843,0.443529411764706
0.47,0.903587780529911,0.429180035650624,0.937045803745692,0.40222816399287,0.864024832701766,0.38204991087344,0.837727535394395,0.413458110516934,0.814221315521042,0.441087344028521,0.798049994813816,0.41144385026738,0.830278022052358,0.437575757575758,0.829481446079268,0.433119429590018,0.868005172042238,0.43078431372549,0.850974013399946,0.391675579322638,0.912942090944423,0.376844919786096,0.896450511945393,0.468199643493761
0.48,0.89768476035858,0.453386809269162,0.93287596476183,0.426595365418895,0.85916835004002,0.401818181818182,0.829043867988591,0.43524064171123,0.805814743867021,0.464901960784314,0.785842870001286,0.435757575757576,0.818724214535068,0.459857397504456,0.820901258687506,0.456880570409982,0.858924789025989,0.455383244206774,0.84075416968818,0.413333333333333,0.904758074246873,0.400980392156863,0.888380135122154,0.494563279857398
0.49,0.891917917386107,0.478805704099822,0.926973298122065,0.450499108734403,0.855142042378082,0.422281639928699,0.819761684183625,0.457415329768271,0.797020050635858,0.488199643493761,0.775686627645205,0.460641711229947,0.807419758232597,0.483386809269162,0.811347474990961,0.479982174688057,0.850941721098357,0.478377896613191,0.828084300260478,0.436345811051693,0.894645941278066,0.424741532976827,0.879345726702076,0.519393939393939
