Threshold,Precision(all rand),Recall(all rand),Sum of P and R,
0.4,0.906445767796619,0.269743018419489,1.17618878621611,
0.41,0.90162605392384,0.289104278074866,1.19073033199871,
0.42,0.895681797652281,0.309312240047534,1.20499403769982,
0.43,0.889624025198567,0.329760843731432,1.21938486893,
0.44,0.882771599913369,0.351170528817588,1.23394212873096,
0.45,0.875262551899794,0.372636660724896,1.24789921262469,
0.46,0.867673773159699,0.395197563874034,1.26287133703373,
0.47,0.859474709478068,0.418137254901961,1.27761196438003,
0.48,0.851005293428876,0.441558229352347,1.29256352278122,
0.49,0.842174077970014,0.465005941770648,1.30718001974066,
0.5,0.833556479637162,0.489221628045158,1.32277810768232,
0.51,0.825629815445261,0.513351158645276,1.33898097409054,
0.52,0.817332150651942,0.537920380273321,1.35525253092526,
0.53,0.809131360774839,0.562645573380868,1.37177693415571,
0.54,0.801160200858508,0.587755496137849,1.38891569699636,
0.55,0.793141597177061,0.612342543077837,1.4054841402549,
0.56,0.785487757538471,0.637225193107546,1.42271295064602,
0.57,0.778009461788729,0.661769162210339,1.43977862399907,
0.58,0.770247330260604,0.68613339275104,1.45638072301164,
0.59,0.762651733020106,0.709852941176471,1.47250467419658,
0.6,0.75522856072136,0.733425430778372,1.48865399149973,Intercept
0.61,0.747812342545218,0.756200237670826,1.50401258021604,Intercept
0.62,0.740393057242266,0.777926322043969,1.51831937928624,
0.63,0.732915785042107,0.799073083778966,1.53198886882107,
0.64,0.725659526048895,0.819444444444444,1.54510397049334,
0.65,0.71837169303419,0.838813131313131,1.55718482434732,
0.66,0.711093166323524,0.856786987522282,1.56788015384581,
0.67,0.70403653453296,0.873868092691622,1.57790462722458,
0.68,0.697282744074627,0.889835115864528,1.58711785993916,
0.69,0.69041669878786,0.904634581105169,1.59505127989303,
0.7,0.683407277327577,0.917999108734403,1.60140638606198,
0.71,0.676502963635912,0.930262923351159,1.60676588698707,
0.72,0.669598636443849,0.941286393345217,1.61088502978907,
0.73,0.662550924929202,0.950845216874628,1.61339614180383,
0.74,0.655381067840458,0.959217171717171,1.61459823955763,
0.75,0.648154512337618,0.966532976827094,1.61468748916471,
0.76,0.642371770853972,0.972853535353535,1.61522530620751,Maximum
0.77,0.636651033826681,0.978204099821747,1.61485513364843,
0.78,0.630894879456616,0.982923351158645,1.61381823061526,
0.79,0.625393136542206,0.986556743909685,1.61194988045189,
0.8,0.619852511546377,0.989624183006536,1.60947669455291,
0.81,0.614518365315347,0.992168746286393,1.60668711160174,
0.82,0.609441309645669,0.994070112893642,1.60351142253931,
0.83,0.604534007309831,0.995562982768865,1.6000969900787,
0.84,0.599742796423101,0.996861259655377,1.59660405607848,
0.85,0.595018752535623,0.997808972073678,1.5928277246093,
0.86,0.590243769653001,0.998487819370172,1.58873158902317,
0.87,0.58533401105711,0.998983957219251,1.58431796827636,
0.88,0.580346629331249,0.999331550802139,1.57967818013339,
0.89,0.575082960229511,0.999594474153298,1.57467743438281,
0.9,0.569539091383741,0.999765300059418,1.56930439144316,
,,,1.61522530620751,
