,J_p,J_r,F_p,F_r,M_p,M_r,A_p,A_r,M_p,M_r,June_p,June_r,July_p,July_r,Aug_p,Aug_r,Sep_p,Sep_r,Oct_p,Oct_r,No_p,No_r,Dec_p,Dec_r
1.01,0.568702723341899,0.982335115864528,0.572328477589672,0.984670231729055,0.57737629291,0.986078431372549,0.561451412275113,0.989625668449198,0.565077555673167,0.989661319073084,0.564344145537422,0.988698752228164,0.56608560105142,0.990427807486631,0.567456662778085,0.988467023172906,0.568508604598691,0.988110516934046,0.556962279495186,0.988841354723708,0.577606864437817,0.983939393939394,0.567771177846307,0.978003565062389
1.02,0.589708993566772,0.973850267379679,0.596560645259473,0.97825311942959,0.60677258725199,0.979607843137255,0.585576515472658,0.9849376114082,0.59070075534995,0.98554367201426,0.589474021261154,0.984474153297683,0.591353142368534,0.986221033868093,0.594412372910564,0.983778966131907,0.594501347708895,0.982887700534759,0.578934111374656,0.983279857397504,0.605552610654651,0.977433155080214,0.590287426189649,0.969376114081996
1.03,0.609781923042264,0.964955436720143,0.621694389303397,0.971372549019608,0.635968388660947,0.972566844919786,0.610601970651292,0.979803921568628,0.616925854085145,0.980802139037433,0.616664422904326,0.979803921568628,0.617104289526201,0.981140819964349,0.623096129837703,0.978627450980392,0.621456112497165,0.976827094474153,0.601138569877258,0.976898395721925,0.63345866849819,0.969982174688057,0.614189042690372,0.959393939393939
1.04,0.630153079805919,0.956114081996435,0.645534275997852,0.964331550802139,0.664154319398998,0.966007130124777,0.635103282514543,0.974991087344028,0.644419075416627,0.97602495543672,0.642640595990694,0.974866310160428,0.642342786104661,0.976292335115864,0.650898646071701,0.97349376114082,0.647986676976149,0.970998217468805,0.6230470090358,0.970998217468805,0.660818355453254,0.962085561497326,0.637015439032551,0.950231729055258
1.05,0.648531477071503,0.946613190730838,0.667595472073641,0.956648841354724,0.690559597592742,0.959286987522282,0.65900666262871,0.969714795008913,0.669850049164208,0.971461675579323,0.668249818980646,0.970606060606061,0.667213255179334,0.971907308377897,0.678451893296034,0.968360071301248,0.673640739865411,0.965347593582888,0.643790499970275,0.965169340463458,0.686813891453781,0.954634581105169,0.657982973313224,0.94096256684492
1.06,0.666476617634016,0.937664884135472,0.68815009109351,0.94934046345811,0.715379262352122,0.952869875222816,0.681728261280446,0.964420677361854,0.693259058619104,0.967201426024955,0.690394631282711,0.966417112299465,0.689445015807717,0.967914438502674,0.703013677258308,0.963868092691622,0.697475838691731,0.96096256684492,0.66227088202731,0.959643493761141,0.711148264562295,0.947754010695187,0.678692440509419,0.931889483065953
1.07,0.68250140874602,0.928360071301248,0.707217819661598,0.94174688057041,0.737770738687673,0.946595365418895,0.702613526696054,0.960338680926916,0.715866914103924,0.962655971479501,0.710161693177337,0.962959001782531,0.708959529991869,0.963654188948306,0.725631039176314,0.959786096256684,0.718726145357635,0.956648841354724,0.680354103690909,0.954848484848485,0.732414310107867,0.940427807486631,0.69724079480177,0.923850267379679
1.08,0.697454810731945,0.920267379679144,0.725221428472731,0.935561497326203,0.759017783975732,0.94108734402852,0.721304201680672,0.956274509803922,0.737131269952183,0.959019607843137,0.728770647170322,0.959483065953654,0.726236562040546,0.959732620320856,0.746217762251388,0.955704099821747,0.739320495794599,0.952655971479501,0.696562267257262,0.950267379679144,0.751887469499067,0.933761140819964,0.714466546112116,0.915561497326203
1.09,0.711008919392036,0.912245989304813,0.741901047597358,0.929108734402852,0.777484817064139,0.935614973262032,0.739882551729869,0.952245989304813,0.757018980906112,0.955490196078431,0.745346963720207,0.956541889483066,0.742018922208698,0.956238859180036,0.764317811042102,0.952032085561497,0.756578853836421,0.948609625668449,0.711758473155488,0.945953654188948,0.768862629246677,0.927843137254902,0.729233501374885,0.907629233511586
1.1,0.724463421251803,0.904313725490196,0.757166257166257,0.922852049910873,0.794056364161762,0.93065953654189,0.756100332358038,0.948912655971479,0.773643904628169,0.952602495543672,0.761551601423487,0.953636363636364,0.755976870113529,0.953137254901961,0.780743565300286,0.948930481283422,0.772799510111246,0.944812834224599,0.725007204512083,0.94174688057041,0.786178614823815,0.922673796791444,0.742722439267985,0.901408199643494
