Threshold,Recall(all rand),Recall(col1 rand),Recall(col2 rand),Recall(col3 rand),Recall(col4 rand)
1.01,0.793980986333928,0.794,,,
1.11,0.34311348781937,0.3431,,,
1.21,0.200518419489008,0.2005,,,
1.31,0.135968508615567,0.136,,,
1.41,0.09897504456328,0.099,,,
1.5,0.076813725490196,0.0768,,,
,,,,,
,,,,,
,,,,,
,,,,,
Threshold,Recall(all rand),Recall(col1 rand),Recall(col2 rand),Recall(col3 rand),Recall(col4 rand)
1.01,0.9866,0.9035,0.9819,0.9822,0.794
1.11,0.9308,0.6712,0.9212,0.9088,0.3431
1.21,0.8948,0.5724,0.8864,0.8573,0.2005
1.31,0.8667,0.5138,0.8616,0.818,0.136
1.41,0.8423,0.471,0.8414,0.7862,0.099
1.5,0.8218,0.439,0.8256,0.7616,0.0768
