,0
1.01,138692
1.02,184607
1.03,228388
1.04,268777
1.05,304529
1.06,335836
1.07,363284
1.08,387095
1.09,407771
1.1,426148
1.11,442216
1.12,456743
1.13,469559
1.14,481185
1.15,491654
1.16,501198
1.17,509976
1.18,517946
1.19,525164
1.2,532072
1.21,538211
1.22,544003
1.23,549402
1.24,554369
1.25,559122
1.26,563493
1.27,567581
1.28,571435
1.29,575053
1.3,578445
1.31,581666
1.32,584778
1.33,587743
1.34,590523
1.35,593084
1.36,595542
1.37,597894
1.38,600176
1.39,602423
1.4,604547
1.41,606570
1.42,608541
1.43,610451
1.44,612285
1.45,613966
1.46,615661
1.47,617234
1.48,618679
1.49,620098
1.5,621489
