,0
1.01,505672
1.02,453703
1.03,404822
1.04,361057
1.05,322657
1.06,289792
1.07,261763
1.08,237400
1.09,216563
1.1,198426
1.11,182647
1.12,168863
1.13,156722
1.14,145931
1.15,136310
1.16,127638
1.17,119873
1.18,112776
1.19,106440
1.2,100498
1.21,95078
1.22,90319
1.23,85810
1.24,81627
1.25,77689
1.26,74232
1.27,71012
1.28,67969
1.29,65087
1.3,62396
1.31,59897
1.32,57522
1.33,55222
1.34,53231
1.35,51286
1.36,49426
1.37,47704
1.38,46146
1.39,44486
1.4,42975
1.41,41552
1.42,40109
1.43,38800
1.44,37590
1.45,36462
1.46,35331
1.47,34268
1.48,33254
1.49,32302
1.5,31368
