,0
1.01,167528
1.02,219497
1.03,268378
1.04,312143
1.05,350543
1.06,383408
1.07,411437
1.08,435800
1.09,456637
1.1,474774
1.11,490553
1.12,504337
1.13,516478
1.14,527269
1.15,536890
1.16,545562
1.17,553327
1.18,560424
1.19,566760
1.2,572702
1.21,578122
1.22,582881
1.23,587390
1.24,591573
1.25,595511
1.26,598968
1.27,602188
1.28,605231
1.29,608113
1.3,610804
1.31,613303
1.32,615678
1.33,617978
1.34,619969
1.35,621914
1.36,623774
1.37,625496
1.38,627054
1.39,628714
1.4,630225
1.41,631648
1.42,633091
1.43,634400
1.44,635610
1.45,636738
1.46,637869
1.47,638932
1.48,639946
1.49,640898
1.5,641832
