,tp,fp,tn,fn
1.01,534508,505672,167528,138692
1.02,488593,453703,219497,184607
1.03,444812,404822,268378,228388
1.04,404423,361057,312143,268777
1.05,368671,322657,350543,304529
1.06,337364,289792,383408,335836
1.07,309916,261763,411437,363284
1.08,286105,237400,435800,387095
1.09,265429,216563,456637,407771
1.1,247052,198426,474774,426148
1.11,230984,182647,490553,442216
1.12,216457,168863,504337,456743
1.13,203641,156722,516478,469559
1.14,192015,145931,527269,481185
1.15,181546,136310,536890,491654
1.16,172002,127638,545562,501198
1.17,163224,119873,553327,509976
1.18,155254,112776,560424,517946
1.19,148036,106440,566760,525164
1.2,141128,100498,572702,532072
1.21,134989,95078,578122,538211
1.22,129197,90319,582881,544003
1.23,123798,85810,587390,549402
1.24,118831,81627,591573,554369
1.25,114078,77689,595511,559122
1.26,109707,74232,598968,563493
1.27,105619,71012,602188,567581
1.28,101765,67969,605231,571435
1.29,98147,65087,608113,575053
1.3,94755,62396,610804,578445
1.31,91534,59897,613303,581666
1.32,88422,57522,615678,584778
1.33,85457,55222,617978,587743
1.34,82677,53231,619969,590523
1.35,80116,51286,621914,593084
1.36,77658,49426,623774,595542
1.37,75306,47704,625496,597894
1.38,73024,46146,627054,600176
1.39,70777,44486,628714,602423
1.4,68653,42975,630225,604547
1.41,66630,41552,631648,606570
1.42,64659,40109,633091,608541
1.43,62749,38800,634400,610451
1.44,60915,37590,635610,612285
1.45,59234,36462,636738,613966
1.46,57539,35331,637869,615661
1.47,55966,34268,638932,617234
1.48,54521,33254,639946,618679
1.49,53102,32302,640898,620098
1.5,51711,31368,641832,621489
