Data,Score,Is_outlier?
"(246.149, 161.336, 305.1235, 137.361)",0.407061613130273,1
"(202.403, 296.8955, 531.212, 137.444)",0.5348785468222201,1
"(156.93, 402.832, 693.1675, 137.52700000000002)",0.4872345494092431,1
"(54.982, 116.8595, 574.432, 137.52700000000002)",0.6021526998729938,0
"(64.3925, 176.7255, 654.2255, 137.52700000000002)",0.6549817481011546,0
"(74.23400000000002, 230.0865, 689.2395, 137.61)",0.5782501840540626,1
"(96.094, 255.729, 650.94, 137.61)",0.5513263924350287,1
"(107.999, 293.4815, 656.9435000000002, 137.6935)",0.5927754398011665,1
"(99.0135, 365.469, 739.998, 137.7765)",0.5896963403541976,1
"(90.764, 443.901, 833.3165, 137.8595)",0.5591980670737955,1
"(91.599, 491.91900000000004, 872.1419999999999, 137.8595)",0.46712494372381524,1
"(90.5925, 531.1015, 905.7719999999999, 137.8595)",0.39269539086679,1
"(59.361, 116.565, 555.781, 138.1265)",0.581561212863605,1
"(69.11099999999999, 180.521, 652.2255, 138.1265)",0.6228350702836684,0
"(76.59899999999999, 245.69299999999998, 721.8109999999998, 138.1265)",0.5821050941142615,1
"(82.4025, 308.899, 773.4985, 138.1265)",0.6156103664840844,0
"(87.191, 367.1205, 811.0654999999998, 138.1265)",0.6100111345262738,0
"(90.837, 419.2565, 839.7365, 138.1265)",0.5591980670737955,1
"(93.542, 463.4295, 860.6565, 138.214)",0.6853842573575767,0
"(95.6195, 498.03150000000005, 874.4845, 138.214)",0.5370745363752519,1
"(97.1135, 522.7049999999998, 883.0799999999998, 138.214)",0.4626449835182267,1
"(74.9825, 83.1045, 380.108, 138.214)",0.5675248480563724,1
"(81.007, 162.7575, 573.931, 138.3015)",0.6790478789207673,0
"(84.2465, 236.98, 683.5129999999998, 138.214)",0.6629093815430745,0
"(87.47399999999999, 304.765, 751.79, 138.214)",0.6770172490901519,0
"(101.472, 333.0180000000001, 727.7175, 138.3015)",0.6103741136288923,0
"(125.3805, 365.709, 724.0210000000001, 138.3015)",0.6404608676139876,0
"(221.7745, 228.348, 422.452, 138.3895)",0.5183074213677282,1
"(264.672, 193.0165, 335.3015000000001, 138.477)",0.43284934341207526,1
"(165.8005, 408.3215, 682.5135, 138.477)",0.5551870862142773,1
"(62.5945, 121.975, 549.5740000000002, 138.477)",0.6676276391325031,0
"(72.53550000000001, 177.36649999999997, 613.5215000000002, 138.477)",0.6842963788642495,0
"(79.34049999999998, 235.575, 668.4585, 138.3895)",0.6892531184195293,0
"(85.1255, 314.8025, 765.2925, 138.477)",0.6674964889815314,0
"(89.7545, 373.1115, 803.3395, 138.477)",0.6354799751021538,0
"(93.3265, 425.329, 832.5464999999998, 138.477)",0.6340274234715407,0
"(95.9575, 469.8935, 854.5715, 138.477)",0.6805044936112682,0
"(101.2015, 484.4355, 834.3665000000002, 138.477)",0.5926086039593359,1
"(103.51899999999999, 504.32, 836.5029999999998, 138.5645)",0.6391812960544124,0
"(93.1975, 1.0065, 4.2170000000000005, 138.74)",0.9357502334645589,0
"(126.72650000000002, 3.8295, 13.145500000000002, 138.915)",0.8969920335186422,0
"(165.173, 21.445, 57.7315, 138.8275)",0.8127319944600362,0
"(197.7865, 55.7565, 132.09449999999998, 138.74)",0.685704576732393,0
"(232.213, 47.4215, 100.79899999999999, 138.8275)",0.6959805010530369,0
"(244.49599999999998, 30.09, 58.7555, 138.915)",0.6767803739225322,0
"(282.6295, 41.356, 74.184, 139.0025)",0.5468772609986016,1
"(207.8565, 303.455, 514.4365, 138.74)",0.6399089503600881,0
"(110.4845, 510.75, 839.5415, 138.65200000000002)",0.6441208263595735,0
"(83.7795, 0.507, 1.966, 138.477)",0.8993214880644037,0
"(138.08700000000002, 14.6095, 46.763999999999996, 138.477)",0.789444526613062,0
"(175.2185, 38.155, 104.4555, 138.477)",0.6556753491297573,0
"(208.145, 55.2025, 130.006, 138.477)",0.6407902594300197,0
"(236.264, 99.0715, 207.8545, 138.477)",0.4747710366924182,1
"(215.35, 184.398, 350.9245, 138.5645)",0.5475277871595213,1
"(232.47099999999998, 201.5135, 360.625, 138.5645)",0.5098890510110045,1
