,ASWDIFD_S,ASWDIR_S,ASWDIRN_S,T: 10.0m,T: 80.0m,T: 100.0m,T: 120.0m,T: 140.0m,T: 160.0m,T: 200.0m,T: 240.0m
2002-04-26T07:00:00+00:00,72.1815,0.0,0.0,140.595,140.3135,140.229,140.143,140.059,140.057,139.908,139.8285
2002-04-26T07:30:00+00:00,79.9215,0.0,0.0,140.6735,140.3135,140.229,140.143,140.059,139.9805,139.832,139.678
2002-04-26T08:00:00+00:00,99.7065,0.0,0.008,140.595,140.3135,140.1515,140.066,139.982,139.904,139.7565,139.5275
2002-04-26T08:30:00+00:00,117.297,0.0205,0.0245,140.4385,140.0815,139.9975,139.8355,139.752,139.675,139.529,139.3015
2002-04-26T09:00:00+00:00,111.447,0.0205,0.0325,140.36,140.0815,139.9975,139.8355,139.752,139.675,139.529,139.452
2002-04-26T09:30:00+00:00,59.2,0.0,0.0,140.2815,139.9265,139.843,139.7585,139.6755,139.5985,139.529,139.452
2002-04-26T10:00:00+00:00,70.577,0.0,0.0,140.2815,139.9265,139.843,139.7585,139.6755,139.5985,139.3775,139.226
2002-04-26T10:30:00+00:00,85.6695,0.0,0.0,140.5165,140.159,140.0745,139.9895,139.9055,139.8275,139.6805,139.5275
2002-04-26T11:00:00+00:00,204.7615,22.406,30.6065,140.9085,140.6235,140.4605,140.374,140.289,140.21,140.0595,139.979
2002-04-27T07:00:00+00:00,85.628,244.0955,672.202,138.95,138.532,138.4535,138.3735,138.218,138.1465,137.937,137.7205
2002-04-27T07:30:00+00:00,83.5405,314.361,735.2015,139.028,138.6095,138.4535,138.3735,138.2945,138.223,138.0125,137.796
2002-04-27T08:00:00+00:00,88.37100000000001,357.671,728.3054999999999,139.1065,138.687,138.608,138.4505,138.3715,138.2995,138.0885,137.871
2002-04-27T08:30:00+00:00,98.901,420.5875,766.5550000000001,139.1065,138.687,138.531,138.4505,138.3715,138.2995,138.0885,137.871
2002-04-27T09:00:00+00:00,117.6725,455.5725,758.9035,139.1065,138.687,138.608,138.4505,138.3715,138.2995,138.0885,137.871
2002-04-27T09:30:00+00:00,125.776,508.9565,789.2094999999999,139.1065,138.687,138.608,138.5275,138.448,138.2995,138.0885,137.9465
2002-04-27T10:00:00+00:00,116.15199999999999,570.1095,835.931,139.185,138.7645,138.685,138.5275,138.448,138.3755,138.1645,137.9465
2002-04-27T10:30:00+00:00,111.769,612.7805000000001,862.549,139.185,138.7645,138.685,138.6045,138.448,138.3755,138.1645,137.9465
2002-04-27T11:00:00+00:00,115.23400000000001,634.885,869.1365000000001,139.185,138.7645,138.685,138.6045,138.448,138.3755,138.1645,138.0215
2002-04-28T07:00:00+00:00,102.00800000000001,0.192,0.5115000000000001,140.125,139.7715,139.6885,139.6045,139.445,139.369,139.15,139.0005
2002-04-28T07:30:00+00:00,132.2455,1.2145,2.786,140.2035,139.849,139.766,139.6815,139.522,139.4455,139.3015,139.226
2002-04-28T08:00:00+00:00,115.013,0.08950000000000001,0.17850000000000002,140.36,140.004,139.92,139.8355,139.752,139.675,139.529,139.377
2002-04-28T08:30:00+00:00,116.43799999999999,0.096,0.1705,140.5165,140.159,140.0745,139.9895,139.982,139.904,139.832,139.678
2002-04-28T09:00:00+00:00,167.07549999999998,0.933,1.576,140.5165,140.236,140.1515,140.066,139.982,139.904,139.832,139.678
2002-04-28T09:30:00+00:00,65.2045,0.0,0.0,140.595,140.3135,140.229,140.143,140.059,140.057,139.908,139.8285
2002-04-28T10:00:00+00:00,75.628,0.0,0.0,140.595,140.3135,140.229,140.22,140.1355,140.1335,139.984,139.904
2002-04-28T10:30:00+00:00,94.769,0.11,0.146,140.7515,140.4685,140.3835,140.374,140.289,140.2865,140.1355,139.979
2002-04-28T11:00:00+00:00,214.5585,7.24,9.909999999999998,140.83,140.546,140.4605,140.374,140.289,140.2865,140.1355,139.979
2002-04-29T07:00:00+00:00,182.943,45.272499999999994,124.578,139.263,138.919,138.8395,138.6815,138.6015,138.5285,138.316,138.097
2002-04-29T07:30:00+00:00,197.999,98.06649999999999,219.04500000000002,139.185,138.7645,138.685,138.6045,138.448,138.3755,138.1645,138.0215
2002-04-29T08:00:00+00:00,169.9735,240.163,481.416,139.185,138.842,138.685,138.6045,138.5245,138.452,138.24,138.0215
2002-04-29T08:30:00+00:00,205.72699999999998,245.36450000000002,440.494,139.3415,138.9965,138.9165,138.7585,138.678,138.605,138.392,138.1725
2002-04-29T09:00:00+00:00,246.6565,210.2215,347.60249999999996,139.5765,139.229,139.1485,138.989,138.908,138.8345,138.619,138.398
2002-04-29T09:30:00+00:00,269.70300000000003,203.702,310.4495,139.5765,139.229,139.1485,138.989,138.908,138.8345,138.619,138.398
2002-04-29T10:00:00+00:00,305.7795,50.57,74.1195,139.263,138.842,138.7625,138.6815,138.6015,138.452,138.316,138.1725
2002-04-29T10:30:00+00:00,331.205,22.976,31.963,139.185,138.842,138.685,138.6045,138.5245,138.452,138.24,138.2475
2002-04-29T11:00:00+00:00,267.897,278.072,375.366,139.3415,138.9965,138.8395,138.7585,138.678,138.605,138.392,138.2475
2002-04-30T07:00:00+00:00,138.4595,146.5575,395.79449999999997,140.2035,139.849,139.766,139.6045,139.522,139.4455,139.2255,139.0755
2002-04-30T07:30:00+00:00,203.7355,113.624,258.6835,140.125,139.7715,139.6115,139.5275,139.445,139.369,139.15,139.0005
2002-04-30T08:00:00+00:00,230.05,142.474,280.7205,140.125,139.694,139.6115,139.5275,139.445,139.369,139.15,139.0005
2002-04-30T08:30:00+00:00,272.959,94.25099999999999,170.244,140.125,139.7715,139.6885,139.6045,139.445,139.369,139.15,139.0005
2002-04-30T09:00:00+00:00,296.36350000000004,33.935500000000005,55.843500000000006,140.125,139.7715,139.6885,139.6045,139.522,139.369,139.2255,139.0005
2002-04-30T09:30:00+00:00,279.7155,12.2975,18.78,140.125,139.7715,139.6115,139.5275,139.445,139.369,139.15,138.925
2002-04-30T10:00:00+00:00,226.436,3.4314999999999998,4.9955,140.0465,139.694,139.6115,139.5275,139.445,139.293,139.15,138.925
2002-04-30T10:30:00+00:00,178.393,0.1855,0.268,140.0465,139.694,139.534,139.4505,139.3685,139.293,139.074,138.925
