,ASWDIFD_S,ASWDIR_S,ASWDIRN_S,T: 10.0m,T: 80.0m,T: 100.0m,T: 120.0m,T: 140.0m,T: 160.0m,T: 200.0m,T: 240.0m
2002-05-27T07:00:00+00:00,121.7585,384.957,709.4069999999999,143.886,143.4025,143.316,143.2295,143.1435,143.0575,142.891,142.7185
2002-05-27T07:30:00+00:00,214.82850000000002,317.4525,525.5555,144.216,143.7285,143.6415,143.5545,143.4675,143.381,143.133,142.9595
2002-05-27T08:00:00+00:00,273.68550000000005,295.129,443.805,144.4635,143.9735,143.8855,143.798,143.711,143.624,143.375,143.2005
2002-05-27T08:30:00+00:00,221.6775,444.211,619.656,144.7115,144.218,144.1295,144.042,143.873,143.786,143.6165,143.4415
2002-05-27T09:00:00+00:00,189.8975,533.3995,702.46,144.959,144.4625,144.374,144.2045,144.1165,144.029,143.8585,143.6025
2002-05-27T09:30:00+00:00,270.8675,441.722,556.402,145.124,144.6255,144.5365,144.448,144.36,144.191,144.02,143.8435
2002-05-27T10:00:00+00:00,410.916,221.451,269.95050000000003,145.289,144.7885,144.6995,144.6105,144.522,144.4335,144.181,144.0045
2002-05-27T10:30:00+00:00,435.23400000000004,158.86849999999998,189.024,145.4545,144.9515,144.862,144.773,144.684,144.5955,144.3425,144.165
2002-05-27T11:00:00+00:00,449.8325,169.394,199.457,145.6195,145.1145,145.025,144.9355,144.7655,144.6765,144.5035,144.3255
2002-05-28T07:00:00+00:00,124.2435,0.057,0.095,143.9685,143.647,143.56,143.392,143.3055,143.219,143.0525,142.879
2002-05-28T07:30:00+00:00,202.3825,7.1690000000000005,11.7635,144.1335,143.7285,143.6415,143.5545,143.4675,143.381,143.133,142.9595
2002-05-28T08:00:00+00:00,204.43099999999998,3.122,4.7765,144.2985,143.892,143.804,143.717,143.63,143.543,143.294,143.12
2002-05-28T08:30:00+00:00,185.08350000000002,0.263,0.38,144.381,143.9735,143.8855,143.798,143.711,143.624,143.375,143.2005
2002-05-28T09:00:00+00:00,198.019,0.263,0.349,144.381,144.055,143.8855,143.798,143.711,143.624,143.4555,143.2005
2002-05-28T09:30:00+00:00,178.26049999999998,0.0785,0.0955,144.4635,144.055,143.967,143.8795,143.792,143.705,143.4555,143.281
2002-05-28T10:00:00+00:00,209.30349999999999,0.256,0.309,144.4635,144.055,143.967,143.798,143.711,143.624,143.4555,143.281
2002-05-28T10:30:00+00:00,231.41,0.5195,0.61,144.381,143.9735,143.8855,143.798,143.63,143.543,143.375,143.2005
2002-05-28T11:00:00+00:00,228.72899999999998,0.562,0.6575,144.381,143.9735,143.8855,143.798,143.711,143.624,143.4555,143.2005
2002-05-29T07:00:00+00:00,103.7285,417.621,764.042,144.1335,143.7285,143.6415,143.473,143.3865,143.3,143.133,142.879
2002-05-29T07:30:00+00:00,129.20749999999998,454.161,745.0935,144.381,143.892,143.804,143.717,143.63,143.543,143.294,143.12
2002-05-29T08:00:00+00:00,135.14350000000002,509.33299999999997,763.2180000000001,144.7115,144.1365,144.0485,143.9605,143.873,143.705,143.536,143.3615
2002-05-29T08:30:00+00:00,124.087,483.105,672.4214999999999,144.8765,144.381,144.2925,144.123,144.0355,143.948,143.778,143.522
2002-05-29T09:00:00+00:00,140.949,530.0285,695.576,145.124,144.6255,144.4555,144.367,144.2785,144.191,143.9395,143.763
2002-05-29T09:30:00+00:00,216.7725,474.571,595.289,145.289,144.7885,144.618,144.5295,144.441,144.3525,144.1005,143.924
2002-05-29T10:00:00+00:00,282.25649999999996,375.975,455.711,145.289,144.7885,144.6995,144.5295,144.441,144.3525,144.181,143.924
2002-05-29T10:30:00+00:00,313.8215,379.1395,449.2635,145.289,144.707,144.618,144.5295,144.36,144.2715,144.1005,143.8435
2002-05-29T11:00:00+00:00,179.017,505.1375,592.6355000000001,145.2065,144.6255,144.5365,144.448,144.2785,144.191,144.02,143.8435
2002-05-30T07:00:00+00:00,103.44200000000001,422.6915,771.3454999999999,142.8125,142.343,142.258,142.1735,142.008,141.924,141.7625,141.5125
2002-05-30T07:30:00+00:00,141.4445,428.381,701.7865,143.2255,142.669,142.5835,142.4985,142.4135,142.2475,142.085,141.834
2002-05-30T08:00:00+00:00,126.357,511.524,764.8340000000001,143.5555,142.995,142.909,142.742,142.6565,142.5715,142.4075,142.1555
2002-05-30T08:30:00+00:00,116.21350000000001,585.6915,813.726,143.8035,143.2395,143.153,143.067,142.9,142.8145,142.649,142.397
2002-05-30T09:00:00+00:00,139.18099999999998,592.718,776.7875,144.051,143.484,143.3975,143.311,143.1435,143.0575,142.891,142.638
2002-05-30T09:30:00+00:00,130.2055,647.5495,809.789,144.2985,143.7285,143.56,143.473,143.3865,143.3,143.0525,142.879
2002-05-30T10:00:00+00:00,131.908,664.8665,804.1804999999999,144.4635,143.892,143.804,143.717,143.549,143.462,143.294,143.04
2002-05-30T10:30:00+00:00,124.42,680.27,805.226,144.7115,144.1365,144.0485,143.8795,143.792,143.705,143.4555,143.281
2002-05-30T11:00:00+00:00,140.199,665.4849999999999,779.679,144.959,144.381,144.211,144.123,144.0355,143.948,143.6975,143.522
2002-05-31T07:00:00+00:00,235.5845,211.161,384.06050000000005,143.638,143.158,143.072,142.986,142.819,142.7335,142.649,142.5575
2002-05-31T07:30:00+00:00,238.031,288.83500000000004,470.2395,144.051,143.5655,143.4785,143.311,143.2245,143.138,142.9715,142.7185
2002-05-31T08:00:00+00:00,226.335,320.82349999999997,480.68,144.381,143.8105,143.723,143.6355,143.549,143.462,143.2135,143.04
2002-05-31T08:30:00+00:00,283.4565,348.01149999999996,482.63649999999996,144.546,144.055,143.967,143.8795,143.711,143.624,143.4555,143.2005
2002-05-31T09:00:00+00:00,282.33500000000004,405.993,530.4905,144.794,144.2995,144.211,144.042,143.9545,143.867,143.6165,143.4415
2002-05-31T09:30:00+00:00,304.01750000000004,159.295,200.693,144.8765,144.4625,144.2925,144.2045,144.1165,144.029,143.778,143.6025
2002-05-31T10:00:00+00:00,241.33100000000002,1.3295,1.608,144.959,144.544,144.4555,144.367,144.2785,144.191,144.02,143.763
2002-05-31T10:30:00+00:00,320.6445,15.091,17.759999999999998,144.8765,144.544,144.374,144.2855,144.1975,144.11,143.8585,143.683
2002-05-31T11:00:00+00:00,314.7735,14.0595,16.445,144.1335,143.7285,143.6415,143.5545,143.4675,143.381,143.2135,142.9595
2002-06-01T07:00:00+00:00,99.3365,438.25199999999995,795.5274999999999,142.213,141.6885,141.6005,141.4165,141.339,141.2745,141.043,140.88
2002-06-01T07:30:00+00:00,105.08850000000001,504.344,821.8795,142.5035,141.962,141.8735,141.7795,141.701,141.545,141.3125,141.1485
2002-06-01T08:00:00+00:00,120.7105,544.4005,811.2835,142.7935,142.2355,142.1465,142.052,141.973,141.816,141.6715,141.4165
2002-06-01T08:30:00+00:00,120.6305,602.2415000000001,834.087,143.0835,142.509,142.419,142.324,142.154,142.0865,141.851,141.685
2002-06-01T09:00:00+00:00,141.6985,628.9945,821.184,143.3735,142.783,142.692,142.5965,142.4255,142.3575,142.1205,141.9535
2002-06-01T09:30:00+00:00,139.817,664.2294999999999,828.422,143.6635,143.0565,142.874,142.778,142.697,142.628,142.3895,142.132
2002-06-01T10:00:00+00:00,129.216,702.1475,846.8485000000001,143.857,143.33,143.147,143.0505,142.9685,142.8085,142.659,142.4005
2002-06-01T10:30:00+00:00,136.3985,711.95,840.1795,144.147,143.604,143.42,143.3225,143.2405,143.1695,142.928,142.7585
2002-06-01T11:00:00+00:00,127.6865,734.6210000000001,858.0215000000001,144.437,143.786,143.6925,143.595,143.4215,143.35,143.108,142.9375
2002-06-02T07:00:00+00:00,100.739,433.47450000000003,785.168,143.277,142.783,142.692,142.5965,142.4255,142.3575,142.21,142.132
2002-06-02T07:30:00+00:00,106.04599999999999,500.371,813.8595,143.567,143.1475,142.965,142.869,142.7875,142.7185,142.4795,142.311
