,ASWDIFD_S,ASWDIR_S,ASWDIRN_S,T: 10.0m,T: 80.0m,T: 100.0m,T: 120.0m,T: 140.0m,T: 160.0m,T: 200.0m,T: 240.0m
2002-06-26T07:00:00+00:00,100.367,457.327,789.759,144.6305,144.2425,144.0565,143.958,143.874,143.8015,143.5565,143.3845
2002-06-26T07:30:00+00:00,105.175,531.3575,820.623,145.0175,144.516,144.4205,144.3215,144.2365,144.1625,143.9155,143.7425
2002-06-26T08:00:00+00:00,109.2055,600.0015,845.1575,145.404,144.881,144.7845,144.6845,144.5985,144.433,144.2745,144.1
2002-06-26T08:30:00+00:00,112.48400000000001,661.6195,864.5405000000001,145.694,145.2455,145.057,144.957,144.87,144.794,144.544,144.3685
2002-06-26T09:00:00+00:00,115.13749999999999,714.3205,879.0475,146.081,145.5195,145.421,145.32,145.1415,145.0645,144.903,144.637
2002-06-26T09:30:00+00:00,117.2385,757.466,889.9994999999999,146.371,145.793,145.694,145.5015,145.4135,145.3355,145.1725,144.905
2002-06-26T10:00:00+00:00,118.7615,790.0405000000001,897.711,146.661,146.0665,145.967,145.8645,145.685,145.606,145.4415,145.1735
2002-06-26T10:30:00+00:00,119.799,810.8265,901.883,146.951,146.34,146.24,146.137,146.047,145.877,145.711,145.5315
2002-06-26T11:00:00+00:00,120.311,819.8164999999999,903.1790000000001,147.2415,146.614,146.5125,146.4095,146.3185,146.1475,145.9805,145.7995
2002-06-27T07:00:00+00:00,100.4065,448.946,776.4055,146.661,146.158,146.058,145.9555,145.866,145.7865,145.711,145.621
2002-06-27T07:30:00+00:00,105.388,522.447,807.8225,147.048,146.614,146.5125,146.4095,146.228,146.1475,145.9805,145.7995
2002-06-27T08:00:00+00:00,109.43100000000001,590.5905,832.7365,147.4345,146.8875,146.7855,146.6815,146.5905,146.5085,146.3395,146.1575
2002-06-27T08:30:00+00:00,112.9295,650.433,850.665,147.8215,147.2525,147.1495,147.045,146.9525,146.7795,146.6085,146.426
2002-06-27T09:00:00+00:00,118.316,674.5245,831.0295,148.1115,147.617,147.5135,147.408,147.224,147.1405,146.9675,146.7835
2002-06-27T09:30:00+00:00,128.0455,679.8175,799.2725,148.4015,147.891,147.786,147.68,147.586,147.411,147.237,147.052
2002-06-27T10:00:00+00:00,152.0135,690.1415,784.3625,148.595,147.982,147.877,147.771,147.6765,147.5915,147.327,147.1415
2002-06-27T10:30:00+00:00,126.769,741.2325000000001,824.7795,148.7885,148.2555,148.059,147.9525,147.858,147.772,147.596,147.3205
2002-06-27T11:00:00+00:00,124.86,754.073,831.0295,148.982,148.438,148.332,148.225,148.1295,147.9525,147.7755,147.5885
