,ASWDIFD_S,ASWDIR_S,ASWDIRN_S,T: 10.0m,T: 80.0m,T: 100.0m,T: 120.0m,T: 140.0m,T: 160.0m,T: 200.0m,T: 240.0m
2002-07-27T07:00:00+00:00,132.45,0.1935,0.3585,144.923,144.5475,144.372,144.286,144.202,144.2075,144.1345,144.0855
2002-07-27T07:30:00+00:00,115.392,0.0075,0.0165,145.0145,144.637,144.5505,144.3755,144.291,144.2075,144.1345,144.0855
2002-07-27T08:00:00+00:00,135.2545,0.0375,0.057,145.1055,144.727,144.5505,144.4645,144.38,144.2965,144.1345,144.0855
2002-07-27T08:30:00+00:00,257.2015,22.63,31.55,145.197,144.8165,144.7295,144.554,144.469,144.3855,144.3115,144.1735
2002-07-27T09:00:00+00:00,304.78499999999997,86.28450000000001,115.059,145.562,145.0855,144.998,144.911,144.8255,144.741,144.489,144.35
2002-07-27T09:30:00+00:00,303.11249999999995,247.50849999999997,315.7115,145.927,145.444,145.356,145.268,145.182,145.097,144.843,144.702
2002-07-27T10:00:00+00:00,320.17049999999995,197.931,245.38800000000003,146.292,145.8025,145.7135,145.625,145.4495,145.364,145.1975,144.966
2002-07-27T10:30:00+00:00,352.104,53.0315,64.4845,146.566,146.0715,145.8925,145.804,145.7165,145.6305,145.3745,145.2305
2002-07-27T11:00:00+00:00,325.74199999999996,19.258,23.17,146.566,146.1615,145.982,145.893,145.8055,145.7195,145.552,145.3185
2002-07-28T07:00:00+00:00,92.83,401.48199999999997,754.194,146.4745,146.0715,145.982,145.804,145.7165,145.7195,145.729,145.8465
2002-07-28T07:30:00+00:00,97.4605,467.444,785.4504999999999,146.931,146.52,146.34,146.25,146.162,146.075,145.995,145.9345
2002-07-28T08:00:00+00:00,101.261,528.8430000000001,810.8109999999999,147.3875,146.8785,146.787,146.6965,146.6075,146.52,146.349,146.1105
2002-07-28T08:30:00+00:00,104.32300000000001,584.7035,832.116,147.8435,147.327,147.145,147.0535,146.964,146.8755,146.7035,146.463
2002-07-28T09:00:00+00:00,106.9305,633.1125,849.1695,148.1175,147.596,147.503,147.4105,147.231,147.1425,146.969,146.727
2002-07-28T09:30:00+00:00,108.95400000000001,672.745,862.306,148.391,147.7755,147.682,147.589,147.4985,147.409,147.1465,146.991
2002-07-28T10:00:00+00:00,115.15199999999999,677.018,840.1785,148.5735,147.9545,147.8605,147.7675,147.6765,147.587,147.3235,147.167
2002-07-28T10:30:00+00:00,114.027,706.6225,859.2845,148.756,148.134,148.0395,147.9465,147.855,147.676,147.5005,147.3435
2002-07-28T11:00:00+00:00,114.304,714.8185000000001,862.078,148.8475,148.313,148.2185,148.0355,147.944,147.854,147.678,147.4315
2002-07-29T07:00:00+00:00,224.764,111.639,208.56,147.661,147.2375,147.145,147.0535,146.964,147.0535,147.1465,147.3435
2002-07-29T07:30:00+00:00,203.94799999999998,249.82349999999997,420.1095,148.1175,147.596,147.503,147.4105,147.3205,147.2315,147.235,147.3435
2002-07-29T08:00:00+00:00,178.275,373.433,574.0155,148.5735,148.0445,147.95,147.857,147.766,147.676,147.5005,147.3435
2002-07-29T08:30:00+00:00,157.312,471.1815,672.4359999999999,149.03,148.4925,148.3975,148.3035,148.2115,148.1205,147.9435,147.6955
