,ASWDIFD_S,ASWDIR_S,ASWDIRN_S,T: 10.0m,T: 80.0m,T: 100.0m,T: 120.0m,T: 140.0m,T: 160.0m,T: 200.0m,T: 240.0m
2002-09-26T07:00:00+00:00,119.94800000000001,213.0225,543.236,141.1925,140.765,140.625,140.561,140.3895,140.3025,140.13,139.9625
2002-09-26T07:30:00+00:00,190.79950000000002,175.07150000000001,383.716,141.342,140.856,140.714,140.6455,140.4745,140.387,140.2145,139.9625
2002-09-26T08:00:00+00:00,222.401,207.5515,398.9445,141.443,140.9475,140.8035,140.6455,140.559,140.4715,140.299,140.0465
2002-09-26T08:30:00+00:00,205.4615,305.8025,535.7339999999999,141.6375,141.0385,140.982,140.8155,140.7285,140.641,140.4675,140.215
2002-09-26T09:00:00+00:00,205.5995,359.935,588.326,141.8655,141.3125,141.1605,141.07,140.9825,140.8945,140.6365,140.4675
2002-09-26T09:30:00+00:00,179.767,438.7255,682.8155,142.1195,141.5865,141.4285,141.3245,141.237,141.064,140.89,140.72
2002-09-26T10:00:00+00:00,171.323,475.915,719.359,142.4245,141.8605,141.6965,141.6635,141.491,141.4025,141.2275,140.9725
2002-09-26T10:30:00+00:00,197.84,445.54200000000003,665.3765000000001,142.654,142.043,141.9645,141.8335,141.745,141.6565,141.3965,141.225
2002-09-26T11:00:00+00:00,222.36,403.9765,606.5695000000001,142.807,142.2255,142.143,142.003,141.9145,141.741,141.565,141.3935
2002-09-27T07:00:00+00:00,109.25800000000001,0.0535,0.1525,142.069,141.6775,141.6075,141.494,141.406,141.318,141.143,140.9725
2002-09-27T07:30:00+00:00,131.517,0.0955,0.201,142.173,141.769,141.6965,141.579,141.491,141.4025,141.143,140.9725
2002-09-27T08:00:00+00:00,188.2825,1.5715000000000001,3.0149999999999997,142.3745,141.9515,141.875,141.7485,141.6605,141.5715,141.312,141.141
2002-09-27T08:30:00+00:00,234.5105,4.84,8.506499999999999,142.6385,142.2255,142.054,142.003,141.9145,141.741,141.565,141.3935
2002-09-27T09:00:00+00:00,277.8135,11.085,18.2115,142.9065,142.408,142.322,142.2575,142.1685,141.995,141.8185,141.646
2002-09-27T09:30:00+00:00,328.029,55.447500000000005,86.5945,143.109,142.5905,142.5005,142.427,142.338,142.164,141.987,141.814
2002-09-27T10:00:00+00:00,351.1815,105.544,160.6215,143.3395,142.8645,142.679,142.597,142.5075,142.418,142.156,141.9825
2002-09-27T10:30:00+00:00,330.6175,163.623,246.16199999999998,143.558,143.047,142.947,142.8515,142.677,142.587,142.4095,142.235
2002-09-27T11:00:00+00:00,254.67149999999998,282.127,427.238,143.7225,143.23,143.0365,142.936,142.8465,142.7565,142.578,142.3195
2002-09-28T07:00:00+00:00,67.8895,0.0,0.0,140.81,140.3995,140.2675,140.2215,140.0505,139.964,139.7925,139.6255
2002-09-28T07:30:00+00:00,89.6435,0.0,0.0,140.947,140.491,140.446,140.3065,140.22,140.133,139.877,139.71
2002-09-28T08:00:00+00:00,141.69650000000001,0.0655,0.1285,141.07,140.582,140.5355,140.391,140.305,140.2175,140.0455,139.794
2002-09-28T08:30:00+00:00,128.495,0.012,0.024,141.1665,140.6735,140.625,140.476,140.3895,140.3025,140.13,139.878
2002-09-28T09:00:00+00:00,160.071,0.405,0.6595,141.1575,140.6735,140.625,140.476,140.3895,140.3025,140.0455,139.878
2002-09-28T09:30:00+00:00,234.5055,6.4355,10.123,141.417,140.9475,140.8035,140.7305,140.6435,140.4715,140.299,140.1305
2002-09-28T10:00:00+00:00,245.64049999999997,3.977,6.111,141.406,140.856,140.8035,140.6455,140.559,140.4715,140.299,140.0465
2002-09-28T10:30:00+00:00,176.26999999999998,0.1365,0.201,141.4155,140.9475,140.8035,140.7305,140.6435,140.556,140.299,140.1305
2002-09-28T11:00:00+00:00,134.968,0.012,0.016,141.6555,141.221,141.0715,140.985,140.898,140.81,140.552,140.383
2002-09-29T07:00:00+00:00,160.94400000000002,83.559,218.632,142.0225,141.5865,141.518,141.409,141.3215,141.233,141.0585,140.8885
2002-09-29T07:30:00+00:00,170.16899999999998,151.90699999999998,339.71900000000005,142.2645,141.8605,141.6965,141.579,141.491,141.4025,141.2275,141.0565
2002-09-29T08:00:00+00:00,162.113,246.0805,485.442,142.533,142.043,141.9645,141.8335,141.745,141.6565,141.4805,141.225
2002-09-29T08:30:00+00:00,148.4665,337.861,606.5935,142.8045,142.317,142.2325,142.088,141.9995,141.91,141.734,141.4775
2002-09-29T09:00:00+00:00,155.6855,382.7715,640.5635,143.0755,142.5905,142.411,142.3425,142.2535,142.164,141.903,141.73
2002-09-29T09:30:00+00:00,176.663,391.5585,623.655,143.348,142.7735,142.679,142.597,142.5075,142.418,142.156,141.9825
2002-09-29T10:00:00+00:00,169.551,434.005,670.755,143.6225,143.047,142.947,142.8515,142.762,142.672,142.4095,142.235
2002-09-29T10:30:00+00:00,154.292,469.0685,716.7774999999999,143.902,143.321,143.215,143.106,143.016,142.9255,142.747,142.4875
2002-09-29T11:00:00+00:00,173.59449999999998,433.2725,666.2445,144.1465,143.595,143.483,143.3605,143.27,143.1795,143.0,142.74
2002-09-30T07:00:00+00:00,121.4645,181.2025,483.7135,141.4285,141.0385,140.8925,140.8155,140.813,140.7255,140.721,140.636
2002-09-30T07:30:00+00:00,116.4565,277.716,628.5195,141.767,141.3125,141.25,141.1545,140.9825,140.8945,140.8055,140.72
2002-09-30T08:00:00+00:00,142.92200000000003,312.9705,625.1990000000001,142.1285,141.6775,141.518,141.409,141.3215,141.233,141.0585,140.8885
2002-09-30T08:30:00+00:00,212.022,266.101,483.3675,142.4285,141.9515,141.786,141.7485,141.5755,141.487,141.312,141.141
2002-09-30T09:00:00+00:00,277.38,212.326,358.4455,142.7085,142.2255,142.054,142.003,141.9145,141.741,141.565,141.3935
2002-09-30T09:30:00+00:00,300.7925,215.374,345.7015,143.0005,142.4995,142.411,142.2575,142.1685,142.0795,141.8185,141.646
2002-09-30T10:00:00+00:00,318.0685,213.6895,332.9415,143.2805,142.7735,142.679,142.512,142.423,142.3335,142.156,141.8985
2002-09-30T10:30:00+00:00,329.198,205.926,317.166,143.5825,143.047,142.947,142.8515,142.762,142.672,142.4095,142.235
2002-09-30T11:00:00+00:00,306.352,237.639,368.568,143.863,143.321,143.215,143.106,143.016,142.9255,142.747,142.4875
2002-10-01T07:00:00+00:00,80.029,266.52250000000004,721.9005,140.726,140.379,140.443,140.4685,140.57,140.586,140.7655,140.773
2002-10-01T07:30:00+00:00,86.9135,338.55,774.6605,141.2855,140.844,140.7505,140.6985,140.647,140.586,140.612,140.6965
2002-10-01T08:00:00+00:00,92.1355,404.0565,813.3305,141.752,141.3095,141.211,141.0825,141.031,140.8935,140.7655,140.6965
2002-10-01T08:30:00+00:00,96.00999999999999,460.832,841.7555,142.2185,141.6975,141.595,141.5435,141.415,141.2775,141.149,140.926
2002-10-01T09:00:00+00:00,98.9525,506.682,861.4784999999999,142.5915,142.0075,141.9025,141.8505,141.7225,141.5845,141.379,141.2325
2002-10-01T09:30:00+00:00,100.9505,540.794,874.8725,142.778,142.318,142.2095,142.081,141.953,141.892,141.6855,141.4625
2002-10-01T10:00:00+00:00,102.0925,562.2235000000001,882.7439999999999,143.151,142.5505,142.44,142.3885,142.26,142.122,141.9155,141.769
2002-10-01T10:30:00+00:00,102.508,570.2764999999999,885.3230000000001,143.431,142.861,142.7475,142.6185,142.5675,142.4295,142.2225,141.999
2002-10-01T11:00:00+00:00,102.14699999999999,564.7165,882.7755,143.6175,143.0935,142.9775,142.849,142.721,142.66,142.4525,142.229
2002-10-02T07:00:00+00:00,159.152,105.431,283.2065,142.778,142.473,142.517,142.465,142.4905,142.5065,142.529,142.3825
2002-10-02T07:30:00+00:00,111.105,281.26099999999997,647.828,143.058,142.7055,142.5935,142.542,142.5675,142.583,142.606,142.459
2002-10-02T08:00:00+00:00,135.6995,320.954,653.318,143.431,143.016,142.901,142.7725,142.721,142.583,142.4525,142.459
2002-10-02T08:30:00+00:00,112.234,416.7605,767.05,143.6175,143.2485,143.1315,143.0025,142.9515,142.8135,142.606,142.459
2002-10-02T09:00:00+00:00,109.749,469.342,804.549,143.8975,143.404,143.285,143.233,143.105,143.044,142.836,142.612
2002-10-02T09:30:00+00:00,122.33350000000002,487.92499999999995,795.8705,144.084,143.6365,143.5155,143.3865,143.3355,143.1975,142.9895,142.842
2002-10-02T10:00:00+00:00,151.567,469.4705,742.976,144.2705,143.7915,143.669,143.617,143.489,143.351,143.2195,142.9955
2002-10-02T10:30:00+00:00,133.3025,503.43399999999997,787.8879999999999,144.457,144.0245,143.8995,143.7705,143.643,143.5815,143.373,143.1485
2002-10-02T11:00:00+00:00,117.914,518.8715,817.935,144.737,144.1795,144.13,144.001,143.8735,143.812,143.603,143.3785
2002-10-03T07:00:00+00:00,154.6895,125.64750000000001,347.6595,142.498,142.2405,142.2865,142.3885,142.4905,142.583,142.6825,142.842
2002-10-03T07:30:00+00:00,180.9335,167.469,390.752,142.8715,142.473,142.3635,142.3885,142.4905,142.5065,142.606,142.689
2002-10-03T08:00:00+00:00,164.1135,270.829,554.2215,143.2445,142.7835,142.7475,142.6185,142.5675,142.583,142.606,142.689
2002-10-03T08:30:00+00:00,174.192,318.755,592.924,143.711,143.2485,143.1315,143.0025,142.8745,142.8135,142.6825,142.7655
2002-10-03T09:00:00+00:00,226.5965,286.06600000000003,494.832,144.084,143.6365,143.5155,143.3865,143.3355,143.1975,142.9895,142.842
2002-10-03T09:30:00+00:00,244.4995,295.5475,485.80550000000005,144.457,143.9465,143.8225,143.7705,143.643,143.5045,143.373,143.1485
2002-10-03T10:00:00+00:00,240.8645,326.905,521.4935,144.737,144.257,144.13,144.078,143.95,143.812,143.6795,143.455
2002-10-03T10:30:00+00:00,222.91899999999998,365.60699999999997,576.8635,145.0165,144.4895,144.437,144.308,144.1805,144.119,143.9095,143.685
2002-10-03T11:00:00+00:00,191.1635,409.10299999999995,650.3035,145.203,144.7225,144.5905,144.5385,144.411,144.2725,144.063,143.915
2002-10-04T07:00:00+00:00,155.827,72.9425,202.876,143.6175,143.2485,143.1315,143.0795,143.105,143.044,142.9895,142.9185
2002-10-04T07:30:00+00:00,176.4845,95.138,225.4385,143.8975,143.4815,143.3615,143.31,143.182,143.044,142.9125,142.842
2002-10-04T08:00:00+00:00,198.2955,103.57050000000001,213.97500000000002,144.177,143.714,143.592,143.54,143.4125,143.2745,143.1425,142.9185
2002-10-04T08:30:00+00:00,200.7135,142.37,266.81449999999995,144.457,143.9465,143.8225,143.7705,143.643,143.5045,143.373,143.1485
