,ASWDIFD_S,ASWDIR_S,ASWDIRN_S,T: 10.0m,T: 80.0m,T: 100.0m,T: 120.0m,T: 140.0m,T: 160.0m,T: 200.0m,T: 240.0m
2002-11-26T07:00:00+00:00,4.709,0.0,0.0,139.846,139.5155,139.428,139.375,139.272,139.254,139.38,139.485
2002-11-26T07:30:00+00:00,17.2655,0.0,0.0,139.825,139.496,139.4125,139.375,139.272,139.333,139.4585,139.5645
2002-11-26T08:00:00+00:00,26.683,0.0,0.0,139.8375,139.5145,139.43,139.375,139.3595,139.333,139.4585,139.485
2002-11-26T08:30:00+00:00,37.67,0.0,0.0,139.8765,139.5715,139.524,139.4725,139.534,139.5695,139.6165,139.7245
2002-11-26T09:00:00+00:00,40.8095,0.0,0.0,139.942,139.655,139.644,139.6675,139.621,139.6485,139.695,139.7245
2002-11-26T09:30:00+00:00,41.593999999999994,0.0,0.0,139.9605,139.677,139.6575,139.6675,139.7085,139.6485,139.695,139.7245
2002-11-26T10:00:00+00:00,44.7335,0.0,0.0,139.939,139.6615,139.6315,139.6675,139.621,139.6485,139.695,139.8045
2002-11-26T10:30:00+00:00,40.8095,0.0,0.0,139.893,139.604,139.5655,139.57,139.534,139.5695,139.6165,139.7245
2002-11-26T11:00:00+00:00,34.5315,0.0,0.0,139.841,139.5575,139.523,139.4725,139.534,139.5695,139.6165,139.7245
2002-11-27T07:00:00+00:00,1.57,0.0,0.0,139.7415,139.4005,139.304,139.1795,139.0975,139.017,138.8285,138.766
2002-11-27T07:30:00+00:00,3.139,0.0,0.0,139.8095,139.478,139.383,139.2775,139.1845,139.096,138.986,138.9255
2002-11-27T08:00:00+00:00,5.493499999999999,0.0,0.0,139.8965,139.5795,139.4905,139.375,139.3595,139.254,139.2225,139.0855
2002-11-27T08:30:00+00:00,8.633,0.0,0.0,140.007,139.6955,139.6035,139.4725,139.4465,139.333,139.1435,139.0055
2002-11-27T09:00:00+00:00,17.2655,0.0,0.0,139.7125,139.361,139.2635,139.1795,139.0975,138.938,138.7495,138.606
2002-11-27T09:30:00+00:00,44.73350000000001,0.0,0.0,139.4725,139.114,139.016,138.887,138.8355,138.7015,138.5135,138.4465
2002-11-27T10:00:00+00:00,72.201,0.0,0.9855,139.421,139.06,138.9615,138.887,138.748,138.7015,138.5135,138.3665
2002-11-27T10:30:00+00:00,88.682,19.828500000000002,87.362,139.3545,138.989,138.8905,138.789,138.661,138.6225,138.4345,138.2065
2002-11-27T11:00:00+00:00,88.68199999999999,6.94,30.932000000000002,139.2445,138.876,138.7775,138.6915,138.5735,138.4645,138.277,138.127
2002-11-28T07:00:00+00:00,4.709,0.0,0.0,138.912,138.5555,138.457,138.399,138.2245,138.149,137.962,137.8075
2002-11-28T07:30:00+00:00,19.62,0.0,0.0,138.852,138.493,138.395,138.301,138.2245,138.07,137.883,137.7275
2002-11-28T08:00:00+00:00,32.9615,0.0,0.0,138.7925,138.432,138.334,138.2035,138.137,138.07,137.883,137.6475
2002-11-28T08:30:00+00:00,41.593999999999994,0.0,0.0,138.873,138.513,138.4145,138.301,138.2245,138.149,137.962,137.7275
2002-11-28T09:00:00+00:00,44.7335,0.0,0.0,138.99,138.631,138.533,138.399,138.3115,138.2275,138.0405,137.887
2002-11-28T09:30:00+00:00,47.088,0.0,0.0,139.0715,138.7115,138.613,138.4965,138.399,138.3065,138.1195,137.967
2002-11-28T10:00:00+00:00,51.0115,0.0,0.0,139.059,138.6945,138.5955,138.4965,138.399,138.3065,138.1195,137.887
2002-11-28T10:30:00+00:00,56.505,0.0,0.0,138.966,138.5995,138.5005,138.399,138.3115,138.2275,138.0405,137.8075
2002-11-28T11:00:00+00:00,54.936,0.0,0.0,138.86,138.489,138.39,138.301,138.2245,138.07,137.883,137.7275
2002-11-29T07:00:00+00:00,0.785,0.0,0.0,137.8085,137.3505,137.246,137.13,137.002,136.965,136.78,136.609
2002-11-29T07:30:00+00:00,5.493499999999999,0.0,0.0,137.794,137.334,137.2295,137.13,137.002,136.886,136.701,136.609
2002-11-29T08:00:00+00:00,7.848,0.0,0.0,137.7995,137.34,137.2355,137.13,137.002,136.965,136.78,136.609
2002-11-29T08:30:00+00:00,9.418,0.0,0.0,137.786,137.327,137.222,137.13,137.002,136.886,136.701,136.609
2002-11-29T09:00:00+00:00,13.3415,0.0,0.0,137.76,137.301,137.1965,137.13,137.002,136.886,136.701,136.529
2002-11-29T09:30:00+00:00,14.911,0.0,0.0,137.7495,137.291,137.1865,137.13,137.002,136.886,136.701,136.529
2002-11-29T10:00:00+00:00,17.2655,0.0,0.0,137.7535,137.2945,137.19,137.13,137.002,136.886,136.701,136.609
2002-11-29T10:30:00+00:00,19.62,0.0,0.0,137.804,137.347,137.2425,137.13,137.002,136.965,136.78,136.609
2002-11-29T11:00:00+00:00,16.480999999999998,0.0,0.0,137.851,137.3965,137.292,137.2275,137.0895,136.965,136.78,136.609
2002-11-30T07:00:00+00:00,1.5695,0.0,0.0,136.5955,136.099,135.9925,135.861,135.78,135.702,135.5195,135.251
2002-11-30T07:30:00+00:00,10.987,0.0,0.0,136.5085,136.0085,135.9015,135.7635,135.6925,135.623,135.362,135.171
2002-11-30T08:00:00+00:00,31.392000000000003,0.0,1.4304999999999999,136.4475,135.939,135.8315,135.7635,135.6055,135.544,135.283,135.0915
2002-11-30T08:30:00+00:00,48.6575,1.983,7.7785,136.3855,135.8725,135.764,135.666,135.518,135.465,135.283,135.0915
2002-11-30T09:00:00+00:00,57.29,1.983,9.4555,136.351,135.839,135.731,135.666,135.518,135.386,135.2045,135.0115
