,ASWDIFD_S,ASWDIR_S,ASWDIRN_S,T: 10.0m,T: 80.0m,T: 100.0m,T: 120.0m,T: 140.0m,T: 160.0m,T: 200.0m,T: 240.0m
2002-10-27T07:00:00+00:00,14.948,1.6855,28.5125,143.711,143.4815,143.4385,143.31,143.259,143.1205,142.9895,142.842
2002-10-27T07:30:00+00:00,39.169,13.202,119.974,143.6175,143.326,143.208,143.156,143.105,142.967,142.836,142.612
2002-10-27T08:00:00+00:00,38.7025,1.4235,9.826,143.3375,143.0935,142.9775,142.926,142.798,142.7365,142.606,142.3825
2002-10-27T08:30:00+00:00,34.8705,0.005,0.016,143.2445,142.9385,142.901,142.7725,142.721,142.583,142.376,142.229
2002-10-27T09:00:00+00:00,74.5765,3.695,12.381,143.058,142.7055,142.5935,142.542,142.414,142.3525,142.146,141.999
2002-10-27T09:30:00+00:00,91.4765,1.8295,5.9575,142.8715,142.5505,142.44,142.3885,142.26,142.199,141.9925,141.769
2002-10-27T10:00:00+00:00,46.015,0.067,0.19,142.6845,142.3955,142.2865,142.158,142.0295,141.9685,141.7625,141.616
2002-10-27T10:30:00+00:00,18.109,0.0,0.0,142.5915,142.2405,142.133,142.0045,141.953,141.815,141.609,141.4625
2002-10-27T11:00:00+00:00,58.2935,0.0,0.0,142.498,142.163,142.056,141.9275,141.876,141.738,141.532,141.386
2002-10-28T07:00:00+00:00,15.3805,3.8850000000000002,73.3135,140.819,140.3015,140.2125,140.161,140.0325,139.895,139.6915,139.547
2002-10-28T07:30:00+00:00,37.6995,32.637499999999996,303.1425,140.819,140.379,140.2895,140.161,140.109,139.972,139.7685,139.6235
2002-10-28T08:00:00+00:00,51.665499999999994,76.77600000000001,455.94050000000004,140.819,140.379,140.2895,140.161,140.0325,139.972,139.7685,139.547
2002-10-28T08:30:00+00:00,61.257000000000005,121.958,540.733,140.819,140.379,140.2895,140.161,140.0325,139.972,139.7685,139.547
2002-10-28T09:00:00+00:00,69.006,167.08350000000002,605.724,140.819,140.379,140.2895,140.161,140.109,139.972,139.7685,139.6235
2002-10-28T09:30:00+00:00,74.64349999999999,207.614,651.9259999999999,140.819,140.379,140.2895,140.161,140.109,139.972,139.7685,139.6235
2002-10-28T10:00:00+00:00,78.52199999999999,241.7885,685.6669999999999,140.9125,140.4565,140.2895,140.238,140.109,140.0485,139.845,139.6235
2002-10-28T10:30:00+00:00,80.8015,278.34749999999997,736.758,140.9125,140.534,140.3665,140.315,140.186,140.1255,139.9215,139.7
2002-10-28T11:00:00+00:00,85.3145,293.7335,746.7975,141.006,140.6115,140.52,140.3915,140.263,140.202,139.9985,139.7765
2002-10-29T07:00:00+00:00,5.8935,0.0,0.0,141.2855,140.922,140.827,140.7755,140.647,140.5095,140.382,140.16
2002-10-29T07:30:00+00:00,22.6845,0.0,0.0,141.379,140.9995,140.904,140.8525,140.724,140.663,140.4585,140.2365
2002-10-29T08:00:00+00:00,51.3,0.005,0.0315,141.379,140.9995,140.904,140.8525,140.724,140.663,140.4585,140.2365
2002-10-29T08:30:00+00:00,65.3335,0.026000000000000002,0.119,141.379,140.9995,140.904,140.7755,140.724,140.586,140.382,140.2365
2002-10-29T09:00:00+00:00,84.4325,0.113,0.435,141.2855,140.922,140.827,140.6985,140.647,140.5095,140.305,140.16
2002-10-29T09:30:00+00:00,100.69,0.339,1.052,141.2855,140.922,140.827,140.7755,140.647,140.5095,140.382,140.16
2002-10-29T10:00:00+00:00,83.8785,0.056499999999999995,0.174,141.472,141.077,140.9805,140.929,140.8005,140.663,140.535,140.313
