,ASWDIFD_S,ASWDIR_S,ASWDIRN_S,T: 10.0m,T: 80.0m,T: 100.0m,T: 120.0m,T: 140.0m,T: 160.0m,T: 200.0m,T: 240.0m
2002-08-27T07:00:00+00:00,129.425,41.734,128.2815,144.6915,144.303,144.157,144.1,144.026,143.86,143.706,143.506
2002-08-27T07:30:00+00:00,155.33350000000002,78.5525,207.553,144.6915,144.303,144.157,144.1,144.026,143.86,143.706,143.506
2002-08-27T08:00:00+00:00,206.676,45.3445,103.4695,144.6915,144.3825,144.236,144.1785,144.026,143.9385,143.784,143.5835
2002-08-27T08:30:00+00:00,189.484,12.629,26.214,144.772,144.3825,144.315,144.1785,144.1045,144.017,143.784,143.5835
2002-08-27T09:00:00+00:00,122.768,0.028,0.056,144.772,144.4615,144.315,144.2575,144.1045,144.017,143.8625,143.661
2002-08-27T09:30:00+00:00,128.7285,0.021,0.048,144.772,144.4615,144.315,144.2575,144.1045,144.017,143.8625,143.661
2002-08-27T10:00:00+00:00,167.6005,0.25,0.39849999999999997,144.772,144.4615,144.315,144.2575,144.183,144.017,143.8625,143.661
2002-08-27T10:30:00+00:00,174.93,0.319,0.478,144.852,144.4615,144.394,144.2575,144.183,144.0955,143.8625,143.661
2002-08-27T11:00:00+00:00,194.249,0.7494999999999999,1.1155,144.852,144.541,144.394,144.336,144.183,144.0955,143.9405,143.7385
2002-08-28T07:00:00+00:00,103.19,6.6585,21.545,144.852,144.541,144.394,144.336,144.183,144.0955,143.9405,143.7385
2002-08-28T07:30:00+00:00,133.9255,10.7965,27.8795,144.852,144.541,144.394,144.336,144.2615,144.0955,143.9405,143.7385
2002-08-28T08:00:00+00:00,163.71699999999998,13.886,32.453,144.852,144.541,144.473,144.336,144.2615,144.174,143.9405,143.7385
2002-08-28T08:30:00+00:00,191.882,6.1235,12.278500000000001,144.9325,144.541,144.473,144.336,144.2615,144.174,143.9405,143.8165
2002-08-28T09:00:00+00:00,237.078,32.8265,59.376000000000005,144.9325,144.541,144.473,144.336,144.2615,144.174,143.9405,143.8165
2002-08-28T09:30:00+00:00,266.2165,55.502,94.713,144.9325,144.62,144.473,144.4145,144.2615,144.174,144.0185,143.8165
2002-08-28T10:00:00+00:00,276.246,22.5295,36.0865,144.9325,144.62,144.473,144.4145,144.34,144.174,144.0185,143.8165
2002-08-28T10:30:00+00:00,274.18100000000004,26.633000000000003,40.7075,144.9325,144.62,144.473,144.4145,144.34,144.2525,144.0185,143.894
2002-08-28T11:00:00+00:00,253.635,69.249,102.864,145.013,144.62,144.552,144.4145,144.34,144.2525,144.0965,143.9715
2002-08-29T07:00:00+00:00,22.777,0.0,0.0,145.3345,145.0165,144.9475,144.8085,144.733,144.7235,144.5655,144.4365
2002-08-29T07:30:00+00:00,41.4485,0.0,0.0,145.3345,144.937,144.8685,144.8085,144.733,144.645,144.4875,144.4365
2002-08-29T08:00:00+00:00,74.08850000000001,0.0625,0.1275,145.3345,144.937,144.8685,144.7295,144.6545,144.645,144.4875,144.359
2002-08-29T08:30:00+00:00,119.809,3.2424999999999997,6.5575,145.3345,144.937,144.8685,144.8085,144.6545,144.5665,144.4875,144.4365
2002-08-29T09:00:00+00:00,144.503,1.7285,3.2030000000000003,145.3345,144.937,144.8685,144.7295,144.6545,144.5665,144.4095,144.359
2002-08-29T09:30:00+00:00,171.15699999999998,5.138,8.7485,145.254,144.937,144.789,144.7295,144.6545,144.488,144.331,144.2815
2002-08-29T10:00:00+00:00,150.458,1.548,2.526,145.174,144.858,144.789,144.651,144.5755,144.488,144.331,144.204
2002-08-29T10:30:00+00:00,108.96,0.035,0.048,145.0935,144.7785,144.631,144.572,144.497,144.4095,144.253,144.204
2002-08-29T11:00:00+00:00,60.7795,0.0,0.0,145.013,144.6995,144.631,144.4935,144.4185,144.331,144.253,144.204
2002-08-30T07:00:00+00:00,94.2825,0.257,0.8605,144.772,144.4615,144.315,144.2575,144.1045,144.017,143.8625,143.661
2002-08-30T07:30:00+00:00,103.893,0.083,0.239,144.772,144.4615,144.315,144.2575,144.183,144.017,143.8625,143.661
2002-08-30T08:00:00+00:00,117.51599999999999,0.111,0.271,144.852,144.4615,144.394,144.2575,144.183,144.0955,143.8625,143.661
2002-08-30T08:30:00+00:00,113.281,0.10400000000000001,0.22299999999999998,144.852,144.541,144.394,144.336,144.183,144.0955,143.9405,143.7385
2002-08-30T09:00:00+00:00,119.026,0.10400000000000001,0.199,144.852,144.541,144.394,144.336,144.2615,144.0955,143.9405,143.7385
2002-08-30T09:30:00+00:00,144.0285,0.986,1.665,144.852,144.541,144.394,144.336,144.2615,144.0955,143.9405,143.7385
2002-08-30T10:00:00+00:00,162.82350000000002,1.208,1.976,144.852,144.541,144.473,144.336,144.2615,144.174,143.9405,143.7385
2002-08-30T10:30:00+00:00,153.971,0.84,1.2985,144.9325,144.62,144.473,144.4145,144.2615,144.174,144.0185,143.8165
2002-08-30T11:00:00+00:00,189.8225,4.0615,6.127,145.174,144.858,144.71,144.651,144.497,144.4095,144.253,144.049
2002-08-31T07:00:00+00:00,85.14099999999999,0.3335,1.028,143.8875,143.5105,143.367,143.313,143.162,143.0755,142.9245,142.7305
2002-08-31T07:30:00+00:00,136.44650000000001,20.704,53.7985,143.807,143.352,143.288,143.1555,143.0835,142.9185,142.768,142.5755
2002-08-31T08:00:00+00:00,193.6875,63.2505,147.8745,143.727,143.352,143.209,143.0765,143.005,142.9185,142.69,142.498
2002-08-31T08:30:00+00:00,183.64,178.476,367.849,143.727,143.273,143.209,143.0765,143.005,142.84,142.69,142.498
2002-08-31T09:00:00+00:00,179.3495,267.2905,500.7755,143.6465,143.1935,143.13,142.998,142.9265,142.84,142.612,142.4205
2002-08-31T09:30:00+00:00,110.63650000000001,446.9815,774.3175,143.566,143.1935,143.051,142.998,142.848,142.7615,142.5335,142.343
