,ASWDIFD_S,ASWDIR_S,ASWDIRN_S,T: 10.0m,T: 80.0m,T: 100.0m,T: 120.0m,T: 140.0m,T: 160.0m,T: 200.0m,T: 240.0m
2002-01-27T07:00:00+00:00,0.0,0.0,0.0,138.962,139.055,139.1705,139.2465,139.3535,139.544,139.794,140.131
2002-01-27T07:30:00+00:00,4.7245,0.0,0.0,139.0595,139.143,139.2585,139.3335,139.4395,139.629,139.879,140.216
2002-01-27T08:00:00+00:00,13.4985,0.0,0.0,139.1575,139.143,139.2585,139.3335,139.5255,139.629,139.879,140.216
2002-01-27T08:30:00+00:00,24.9725,0.0,0.0,139.1575,139.143,139.2585,139.421,139.5255,139.629,139.879,140.216
2002-01-27T09:00:00+00:00,36.446,0.0,0.0,139.255,139.231,139.3465,139.421,139.612,139.714,139.964,140.216
2002-01-27T09:30:00+00:00,46.57,0.0,0.0,139.3525,139.319,139.435,139.508,139.698,139.799,140.049,140.3015
2002-01-27T10:00:00+00:00,45.22,0.0,0.0,139.45,139.407,139.523,139.683,139.87,140.0545,140.304,140.4715
2002-01-27T10:30:00+00:00,53.319500000000005,0.0,0.0,139.548,139.5835,139.699,139.8575,140.042,140.2245,140.4735,140.5565
2002-01-27T11:00:00+00:00,60.7435,0.0,0.0,139.6455,139.6715,139.787,139.945,140.1285,140.3095,140.5585,140.6415
2002-01-28T07:00:00+00:00,0.0,0.0,0.0,138.962,139.407,139.523,139.5955,139.784,139.8845,140.134,140.3015
2002-01-28T07:30:00+00:00,16.198,5.1355,78.2785,139.0595,139.5835,139.699,139.8575,139.956,140.0545,140.219,140.3865
2002-01-28T08:00:00+00:00,37.121,52.209,415.0,139.255,139.5835,139.699,139.8575,139.956,140.0545,140.219,140.3015
2002-01-28T08:30:00+00:00,48.5945,112.12100000000001,580.4515,139.255,139.6715,139.787,139.945,140.042,140.0545,140.219,140.216
2002-01-28T09:00:00+00:00,59.3935,168.6095,660.8845,139.45,139.8475,139.963,140.032,140.1285,140.2245,140.304,140.3015
2002-01-28T09:30:00+00:00,70.8675,213.9715,690.9485,139.6455,140.0235,140.139,140.2065,140.2145,140.3095,140.4735,140.3865
2002-01-28T10:00:00+00:00,89.76499999999999,237.936,671.5875,140.036,140.112,140.139,140.294,140.3005,140.3945,140.4735,140.5565
2002-01-28T10:30:00+00:00,131.6105,207.1245,530.2945,140.329,140.112,140.227,140.294,140.3865,140.4795,140.5585,140.6415
2002-01-28T11:00:00+00:00,154.55849999999998,189.151,455.16949999999997,140.622,140.288,140.315,140.3815,140.4725,140.5645,140.7285,140.812
2002-01-29T07:00:00+00:00,0.0,0.0,0.0,137.6925,138.086,138.378,138.5475,138.751,138.949,139.2845,139.6205
2002-01-29T07:30:00+00:00,22.9475,0.0,0.472,137.595,138.174,138.378,138.5475,138.751,138.949,139.2845,139.5355
2002-01-29T08:00:00+00:00,64.793,5.9915,43.778999999999996,137.595,138.174,138.378,138.5475,138.751,138.949,139.1995,139.4505
2002-01-29T08:30:00+00:00,102.589,21.397,110.13550000000001,137.888,138.262,138.4665,138.635,138.751,138.949,139.1995,139.4505
2002-01-29T09:00:00+00:00,137.01,32.5235,127.767,138.083,138.35,138.5545,138.7225,138.923,139.034,139.2845,139.5355
2002-01-29T09:30:00+00:00,168.0565,42.7945,137.65200000000002,138.376,138.4385,138.6425,138.8095,139.009,139.119,139.3695,139.5355
2002-01-29T10:00:00+00:00,188.30450000000002,74.462,207.178,138.8645,138.6145,138.8185,138.9845,139.1815,139.289,139.4545,139.5355
2002-01-29T10:30:00+00:00,202.478,101.85050000000001,256.3515,139.255,138.8785,138.9945,139.0715,139.2675,139.374,139.5395,139.6205
2002-01-29T11:00:00+00:00,211.252,122.392,292.416,139.6455,139.319,139.3465,139.421,139.5255,139.629,139.794,139.876
2002-01-30T07:00:00+00:00,0.675,0.0,0.0,139.0595,139.407,139.611,139.77,139.87,139.9695,140.134,140.3015
2002-01-30T07:30:00+00:00,22.9475,0.0,0.173,139.0595,139.407,139.611,139.77,139.87,139.9695,140.134,140.216
2002-01-30T08:00:00+00:00,63.443,0.856,7.156499999999999,139.1575,139.407,139.523,139.683,139.87,139.9695,140.049,140.131
2002-01-30T08:30:00+00:00,103.939,5.1355,26.6665,139.255,139.319,139.523,139.683,139.784,139.8845,139.964,140.046
2002-01-30T09:00:00+00:00,141.06,20.5415,77.4845,139.3525,139.407,139.611,139.77,139.87,139.9695,140.049,140.131
2002-01-30T09:30:00+00:00,170.7565,46.218,145.264,139.6455,139.6715,139.787,139.945,140.042,140.0545,140.134,140.216
2002-01-30T10:00:00+00:00,174.13150000000002,117.256,319.61749999999995,139.9385,139.8475,139.963,139.945,140.042,140.1395,140.219,140.3865
2002-01-30T10:30:00+00:00,166.03199999999998,182.30349999999999,456.67949999999996,140.329,140.112,140.051,140.1195,140.1285,140.2245,140.3885,140.5565
2002-01-30T11:00:00+00:00,195.05349999999999,164.32999999999998,387.8295,140.7195,140.376,140.315,140.294,140.3005,140.3945,140.5585,140.812
2002-01-31T07:00:00+00:00,0.675,0.0,0.0,138.8645,139.055,139.1705,139.3335,139.3535,139.459,139.5395,139.7055
2002-01-31T07:30:00+00:00,21.598,0.0,0.008,138.962,139.143,139.2585,139.3335,139.3535,139.459,139.5395,139.6205
2002-01-31T08:00:00+00:00,56.694,0.0,1.266,138.962,139.143,139.2585,139.3335,139.4395,139.459,139.5395,139.5355
2002-01-31T08:30:00+00:00,97.189,2.568,11.261,139.1575,139.231,139.3465,139.421,139.5255,139.544,139.5395,139.5355
2002-01-31T09:00:00+00:00,133.6355,6.8469999999999995,25.723,139.255,139.319,139.435,139.5955,139.612,139.629,139.6245,139.5355
