,ASWDIFD_S,ASWDIR_S,ASWDIRN_S,T: 10.0m,T: 80.0m,T: 100.0m,T: 120.0m,T: 140.0m,T: 160.0m,T: 200.0m,T: 240.0m
2002-01-01T07:00:00+00:00,0.0,0.0,0.0,134.568,134.2985,134.152,134.0945,134.0165,133.9325,133.849,133.6635
2002-01-01T07:30:00+00:00,0.0,0.0,0.0,134.666,134.2985,134.24,134.182,134.1025,134.0175,133.849,133.7485
2002-01-01T08:00:00+00:00,8.099499999999999,0.0,0.0,134.7635,134.3865,134.328,134.2695,134.1025,134.1025,133.934,133.7485
2002-01-01T08:30:00+00:00,36.446,0.0,1.337,134.861,134.475,134.328,134.2695,134.189,134.0175,133.849,133.7485
2002-01-01T09:00:00+00:00,73.56700000000001,10.2705,69.4,134.7635,134.3865,134.328,134.182,134.1025,134.0175,133.849,133.6635
2002-01-01T09:30:00+00:00,69.5175,80.4535,411.587,134.7635,134.3865,134.24,134.182,134.1025,134.0175,133.934,133.8335
2002-01-01T10:00:00+00:00,55.344,154.915,685.3810000000001,134.7635,134.3865,134.24,134.182,134.1025,134.1025,134.1885,134.174
2002-01-01T10:30:00+00:00,58.718999999999994,184.0155,724.009,134.861,134.3865,134.328,134.2695,134.275,134.2725,134.3585,134.4295
2002-01-01T11:00:00+00:00,61.418000000000006,203.70049999999998,747.5695000000001,134.9585,134.563,134.504,134.444,134.361,134.3575,134.4435,134.5145
2002-01-02T07:00:00+00:00,0.0,0.0,0.0,133.3965,134.0345,134.328,134.531,134.7915,134.9525,135.2925,135.621
2002-01-02T07:30:00+00:00,0.0,0.0,0.0,133.3965,134.0345,134.328,134.531,134.7915,134.9525,135.3775,135.706
2002-01-02T08:00:00+00:00,12.148499999999999,5.9915,121.68,133.494,134.1225,134.416,134.6185,134.8775,135.0375,135.4625,135.706
2002-01-02T08:30:00+00:00,29.6965,36.803000000000004,395.875,133.494,134.2105,134.416,134.706,134.8775,135.1225,135.4625,135.791
2002-01-02T09:00:00+00:00,41.170500000000004,79.5975,547.595,133.494,134.2105,134.504,134.706,134.9635,135.1225,135.4625,135.791
2002-01-02T09:30:00+00:00,49.269499999999994,123.2475,645.581,133.592,134.2985,134.504,134.793,134.9635,135.2075,135.5475,135.876
2002-01-02T10:00:00+00:00,55.344,160.051,705.4259999999999,133.787,134.3865,134.6805,134.8805,135.1355,135.2925,135.7175,135.961
2002-01-02T10:30:00+00:00,59.394,190.007,741.75,134.1775,134.563,134.7685,135.055,135.2215,135.463,135.8025,136.1315
