,ASWDIFD_S,ASWDIR_S,ASWDIRN_S,T: 10.0m,T: 80.0m,T: 100.0m,T: 120.0m,T: 140.0m,T: 160.0m,T: 200.0m,T: 240.0m
2002-02-24T07:00:00+00:00,11.9295,0.0,0.0,136.2645,135.8795,135.811,135.7365,135.658,135.5755,135.377,135.1655
2002-02-24T07:30:00+00:00,33.7995,0.0,0.0,136.2645,135.8795,135.811,135.7365,135.582,135.4995,135.301,135.1655
2002-02-24T08:00:00+00:00,94.439,6.8795,29.3435,136.2645,135.8795,135.811,135.7365,135.658,135.4995,135.377,135.1655
2002-02-24T08:30:00+00:00,94.439,0.079,0.301,136.111,135.727,135.659,135.5085,135.4295,135.3475,135.1485,134.934
2002-02-24T09:00:00+00:00,134.2025,107.61449999999999,300.388,136.1875,135.803,135.659,135.5845,135.506,135.4235,135.225,135.011
2002-02-24T09:30:00+00:00,114.321,257.3565,651.142,136.2645,135.8795,135.811,135.6605,135.582,135.4995,135.301,135.0885
2002-02-24T10:00:00+00:00,234.606,42.234500000000004,97.7735,136.111,135.651,135.5065,135.4325,135.3535,135.196,134.9965,134.8565
2002-02-24T10:30:00+00:00,226.65300000000002,161.226,335.912,136.3415,135.8795,135.735,135.6605,135.506,135.4235,135.225,135.011
2002-02-24T11:00:00+00:00,163.031,322.806,645.7905000000001,136.6485,136.1845,136.116,135.965,135.886,135.8035,135.6055,135.397
2002-02-25T07:00:00+00:00,2.982,0.0,0.0,139.4155,139.233,139.1615,139.1605,139.079,138.9935,138.9535,138.794
2002-02-25T07:30:00+00:00,7.953,0.0,0.0,139.4925,139.309,139.2375,139.1605,139.155,139.0695,139.0295,138.871
2002-02-25T08:00:00+00:00,15.9055,0.0,0.0,139.4925,139.309,139.3135,139.2365,139.155,139.1455,139.0295,138.9485
2002-02-25T08:30:00+00:00,41.752,0.0,0.0,139.569,139.385,139.3135,139.2365,139.231,139.1455,139.0295,138.9485
2002-02-25T09:00:00+00:00,40.758,0.0,0.0,139.646,139.385,139.3135,139.2365,139.231,139.1455,139.0295,138.9485
2002-02-25T09:30:00+00:00,28.8285,0.0,0.0,139.646,139.4615,139.39,139.3125,139.231,139.2215,139.1055,139.0255
2002-02-25T10:00:00+00:00,46.7225,0.0,0.0,139.723,139.385,139.39,139.3125,139.231,139.2215,139.1055,139.0255
2002-02-25T10:30:00+00:00,35.7875,0.0,0.0,139.723,139.4615,139.466,139.389,139.307,139.2975,139.182,139.103
2002-02-25T11:00:00+00:00,24.852,0.0,0.0,139.8765,139.69,139.6185,139.541,139.459,139.373,139.334,139.18
2002-02-26T07:00:00+00:00,3.9764999999999997,0.0,0.0,140.261,139.995,139.923,139.8455,139.763,139.677,139.486,139.3345
2002-02-26T07:30:00+00:00,9.941,0.0,0.0,140.261,139.995,139.923,139.8455,139.763,139.677,139.486,139.3345
2002-02-26T08:00:00+00:00,14.9115,0.0,0.0,140.3375,140.071,139.999,139.9215,139.839,139.753,139.5625,139.4115
2002-02-26T08:30:00+00:00,19.881999999999998,0.0,0.0,140.3375,140.071,139.999,139.9215,139.839,139.753,139.5625,139.4115
2002-02-26T09:00:00+00:00,26.8405,0.0,0.0,140.3375,140.071,139.923,139.8455,139.763,139.677,139.5625,139.3345
2002-02-26T09:30:00+00:00,39.7635,0.0,0.0,140.3375,140.071,139.999,139.9215,139.839,139.753,139.5625,139.4115
2002-02-26T10:00:00+00:00,28.829,0.0,0.0,140.3375,140.071,139.999,139.9215,139.839,139.753,139.5625,139.4115
2002-02-26T10:30:00+00:00,17.894,0.0,0.0,140.3375,140.071,139.999,139.9215,139.839,139.753,139.5625,139.4115
2002-02-26T11:00:00+00:00,23.8585,0.0,0.0,140.4145,140.1475,140.075,139.9975,139.915,139.829,139.6385,139.489
2002-02-27T07:00:00+00:00,18.8875,0.0,0.0,138.8005,138.547,138.476,138.3995,138.3185,138.234,138.0405,137.8675
2002-02-27T07:30:00+00:00,41.751999999999995,0.0,0.0,138.8005,138.547,138.4,138.3235,138.2425,138.158,138.0405,137.8675
2002-02-27T08:00:00+00:00,70.5805,0.009,0.041,138.8775,138.547,138.476,138.3995,138.3185,138.234,138.0405,137.8675
2002-02-27T08:30:00+00:00,110.3445,0.377,1.228,138.9545,138.623,138.5525,138.476,138.3945,138.31,138.1165,137.945
