,ASWDIFD_S,ASWDIR_S,ASWDIRN_S,T: 10.0m,T: 80.0m,T: 100.0m,T: 120.0m,T: 140.0m,T: 160.0m,T: 200.0m,T: 240.0m
2002-03-27T07:00:00+00:00,80.09100000000001,164.615,575.101,136.5115,136.3105,136.329,136.3355,136.341,136.3465,136.432,136.3545
2002-03-27T07:30:00+00:00,94.53,233.268,644.9545,136.6775,136.472,136.409,136.3355,136.341,136.3465,136.432,136.3545
2002-03-27T08:00:00+00:00,113.8765,290.7605,672.792,137.0925,136.714,136.649,136.4955,136.421,136.426,136.352,136.3545
2002-03-27T08:30:00+00:00,112.6505,372.91499999999996,751.5155,137.4245,137.037,136.889,136.8155,136.661,136.586,136.432,136.275
2002-03-27T09:00:00+00:00,100.126,462.069,837.847,137.7565,137.2795,137.1295,137.0555,136.901,136.8255,136.671,136.434
2002-03-27T09:30:00+00:00,101.6245,518.322,866.4765,138.006,137.5215,137.3695,137.2955,137.2205,137.0655,136.91,136.673
2002-03-27T10:00:00+00:00,106.75200000000001,549.104,864.531,138.338,137.764,137.6895,137.5355,137.4605,137.385,137.1495,136.991
2002-03-27T10:30:00+00:00,112.3675,562.6055,849.586,138.67,138.087,138.01,137.9355,137.78,137.7045,137.4685,137.3095
2002-03-27T11:00:00+00:00,118.935,568.8924999999999,838.6800000000001,139.002,138.41,138.33,138.1755,138.1,138.024,137.787,137.628
2002-03-28T07:00:00+00:00,71.453,189.1275,647.452,136.7605,136.6335,136.729,136.8155,136.901,136.9055,137.0695,137.1505
2002-03-28T07:30:00+00:00,80.9065,267.3665,726.9590000000001,136.9265,136.795,136.809,136.8955,136.981,136.9855,137.0695,137.23
2002-03-28T08:00:00+00:00,88.19200000000001,343.8755,785.1890000000001,137.4245,137.037,137.0495,137.0555,137.0605,137.145,137.1495,137.23
2002-03-28T08:30:00+00:00,93.7435,415.426,828.582,138.006,137.5215,137.4495,137.2955,137.3005,137.225,137.229,137.3095
2002-03-28T09:00:00+00:00,98.241,478.912,859.898,138.504,138.006,137.9295,137.7755,137.7005,137.6245,137.4685,137.469
2002-03-28T09:30:00+00:00,101.6685,533.6859999999999,884.125,139.002,138.4905,138.33,138.2555,138.1,138.024,137.867,137.628
2002-03-28T10:00:00+00:00,104.125,577.281,901.065,139.334,138.8135,138.73,138.5755,138.5,138.423,138.186,138.026
2002-03-28T10:30:00+00:00,105.86850000000001,608.3925,911.567,139.749,139.2175,139.0505,138.9755,138.8995,138.743,138.5845,138.3445
2002-03-28T11:00:00+00:00,106.90299999999999,627.4445000000001,918.1285,140.081,139.5405,139.4505,139.3755,139.2195,139.142,138.9035,138.7425
2002-03-29T07:00:00+00:00,72.3075,190.445,639.1345,137.1755,136.9565,137.1295,137.2155,137.3005,137.4645,137.787,138.185
2002-03-29T07:30:00+00:00,81.4725,267.76800000000003,716.7535,137.5905,137.1985,137.2895,137.3755,137.4605,137.5445,137.787,138.1055
2002-03-29T08:00:00+00:00,88.4505,343.187,773.5335,138.006,137.683,137.6095,137.6155,137.7005,137.7045,137.867,138.1055
2002-03-29T08:30:00+00:00,93.773,413.8515,816.2995,138.67,138.2485,138.09,138.0155,138.02,138.024,138.186,138.2645
2002-03-29T09:00:00+00:00,98.031,476.625,847.4175,139.251,138.8135,138.73,138.5755,138.5,138.423,138.3455,138.424
